journal_abbr,lastname,firstname,title,position,affiliation,role,website,retrieved_on,Richter,Benita,Unnamed: 2,Chefredakteurin,Bundesvereinigung Lebenshilfe e. V.,Redaktion,Es wurden keine Informationen über den Herausgeber, die Redaktion/Schriftleitung und den Beirat der Zeitschrift 'Bundesbaublatt' gefunden. Hier sind die CSV-Header:,Bayer,Walter,Prof. Dr.,Herausgeber,Friedrich-Schiller-Universität Jena,Herausgeber.1
AUR,Busse,Christian,Dr.,Regierungsdirektor,"Bundesministerium für Ernährung und Landwirtschaft, Bonn",Redaktion,https://www.uni-goettingen.de/de/aur/448062.html,2024-01-04,,,,,,,,,,,,,,
AUR,Endres,Ewald,Prof. Dr.,,"Hochschule Weihenstephan-Triesdorf, Freising",Redaktion,https://www.uni-goettingen.de/de/aur/448062.html,2024-01-04,,,,,,,,,,,,,,
AUR,Francois,Matthias,Dr.,Rechtsanwalt,,Redaktion,https://www.uni-goettingen.de/de/aur/448062.html,2024-01-04,,,,,,,,,,,,,,
AUR,von Garmissen,Bernd,Dr.,Rechtsanwalt,,Redaktion,https://www.uni-goettingen.de/de/aur/448062.html,2024-01-04,,,,,,,,,,,,,,
AUR,Glas,Ingo,Rechtsanwalt,,,Redaktion,https://www.uni-goettingen.de/de/aur/448062.html,2024-01-04,,,,,,,,,,,,,,
AUR,Graß,Christiane,Rechtsanwältin,,,Redaktion,https://www.uni-goettingen.de/de/aur/448062.html,2024-01-04,,,,,,,,,,,,,,
AUR,Haarstrich,Jens,Rechtsanwalt,,,Redaktion,https://www.uni-goettingen.de/de/aur/448062.html,2024-01-04,,,,,,,,,,,,,,
AUR,Koch,Erich,Dr.,Ltd. Verwaltungsdirektor,"Sozialversicherung für Landwirtschaft, Forsten und Gartenbau, Kassel",Redaktion,https://www.uni-goettingen.de/de/aur/448062.html,2024-01-04,,,,,,,,,,,,,,
AUR,Köpl,Christian,Dr.,Ministerialrat,"Bayerisches Staatsministerium für Ernährung, Landwirtschaft und Forsten, München",Redaktion,https://www.uni-goettingen.de/de/aur/448062.html,2024-01-04,,,,,,,,,,,,,,
AUR,Martinez,Jose,Prof. Dr.,,"Institut für Landwirtschaftsrecht, Georg-August-Universitat Göttingen, Göttingen",Redaktion,https://www.uni-goettingen.de/de/aur/448062.html,2024-01-04,,,,,,,,,,,,,,
AUR,Nies,Volkmar,Ltd. Landwirtschaftsdirektor,,"Landwirtschaftskammer NRW, Bonn",Redaktion,https://www.uni-goettingen.de/de/aur/448062.html,2024-01-04,,,,,,,,,,,,,,
AUR,Stephany,Ralf,Rechtsanwalt/Steuerberater,,,Redaktion,https://www.uni-goettingen.de/de/aur/448062.html,2024-01-04,,,,,,,,,,,,,,
AUR,Wedemeyer,Harald,Rechtsanwalt,,"Landvolk Niedersachsen, Hannover",Redaktion,https://www.uni-goettingen.de/de/aur/448062.html,2024-01-04,,,,,,,,,,,,,,
AUR,Martinez,José,Prof. Dr.,Erster Schriftleiter,Institut für Landwirtschaftsrecht,Schriftleitung,https://www.uni-goettingen.de/de/aur/448062.html,2024-01-04,,,,,,,,,,,,,,
AUR,Nies,Volkmar,LLD,Zweiter Schriftleiter,,Schriftleitung,https://www.uni-goettingen.de/de/aur/448062.html,2024-01-04,,,,,,,,,,,,,,
AUR,Schell,Irina Valeska,,Assistenz der Schriftleitung,,Schriftleitung,https://www.uni-goettingen.de/de/aur/448062.html,2024-01-04,,,,,,,,,,,,,,
AUR,,Deutsche Gesellschaft für Agrarrecht,,,Agrar- und Umweltrecht,Herausgeber,https://www.uni-goettingen.de/de/aur/448062.html,2024-01-04,,,,,,,,,,,,,,
AL,Wollert,Moritz,,Herausgeber,Ad Legendum,Herausgeber,https://www.adlegendum.de/web/team,2024-01-04,,,,,,,,,,,,,,
AL,Dallaserra,Jan,,Vorsitzender,Ad Legendum,Vorstand,https://www.adlegendum.de/web/team,2024-01-04,,,,,,,,,,,,,,
AL,Goldschmidt,Janka,,Stellv. Vorsitzende,Ad Legendum,Vorstand,https://www.adlegendum.de/web/team,2024-01-04,,,,,,,,,,,,,,
AL,Tekaat,Hannah,,Vorständin für Finanzen,Ad Legendum,Vorstand,https://www.adlegendum.de/web/team,2024-01-04,,,,,,,,,,,,,,
AL,Scheiper,Johanna,,Vorsitzende,Ad Legendum,Aufsichtsrat,https://www.adlegendum.de/web/team,2024-01-04,,,,,,,,,,,,,,
AL,Nolting,Thilo,,Stellv. Vorsitzender,Ad Legendum,Aufsichtsrat,https://www.adlegendum.de/web/team,2024-01-04,,,,,,,,,,,,,,
AL,Gottwald,Bernadette,,Rechnungsprüferin,Ad Legendum,Aufsichtsrat,https://www.adlegendum.de/web/team,2024-01-04,,,,,,,,,,,,,,
AL,Schmidt,Johann,,Chefredakteur,Ad Legendum,Chefredaktion,https://www.adlegendum.de/web/team,2024-01-04,,,,,,,,,,,,,,
AL,Lampe,Sophie,,Stellv. Chefredakteurin,Ad Legendum,Chefredaktion,https://www.adlegendum.de/web/team,2024-01-04,,,,,,,,,,,,,,
AL,Pickl,Paul,,Stellv. Chefredakteur,Ad Legendum,Chefredaktion,https://www.adlegendum.de/web/team,2024-01-04,,,,,,,,,,,,,,
AL,Bukowski,Carla,,Verlagsleiterin,Ad Legendum,Verlagsleitung,https://www.adlegendum.de/web/team,2024-01-04,,,,,,,,,,,,,,
AL,Steffen,Celina,,Stellv. Verlagsleiterin,Ad Legendum,Verlagsleitung,https://www.adlegendum.de/web/team,2024-01-04,,,,,,,,,,,,,,
ASR,Schaumberg,Torsten,Prof. Dr.,Schriftleitung,Nomos Verlag,Schriftleitung,https://www.nomos.de/zeitschriften/asr/,2024-01-04,,,,,,,,,,,,,,
ASR,Schröder,Anne,RAin,Schriftleitung,Nomos Verlag,Schriftleitung,https://www.nomos.de/zeitschriften/asr/,2024-01-04,,,,,,,,,,,,,,
ASR,Penteridis,Nikolaos,RA,Schriftleitung,Nomos Verlag,Schriftleitung,https://www.nomos.de/zeitschriften/asr/,2024-01-04,,,,,,,,,,,,,,
ASR,Gerloff,Volker,RA,Schriftleitung,Nomos Verlag,Schriftleitung,https://www.nomos.de/zeitschriften/asr/,2024-01-04,,,,,,,,,,,,,,
AnwBl,Walentowski,Swen,Rechtsanwalt,Redaktionsleitung Anwaltsblatt,Deutscher Anwaltverein,Redaktion,https://anwaltsblatt.anwaltverein.de/de/anwaltsblatt/redaktion,2024-01-04,,,,,,,,,,,,,,
AnwBl,Kohnen,Klaus,,Chefredakteur Anwaltsblatt,Deutscher Anwaltverein,Redaktion,https://anwaltsblatt.anwaltverein.de/de/anwaltsblatt/redaktion,2024-01-04,,,,,,,,,,,,,,
AnwBl,Jönsson,Anja,,Redakteurin,Deutscher Anwaltverein,Redaktion,https://anwaltsblatt.anwaltverein.de/de/anwaltsblatt/redaktion,2024-01-04,,,,,,,,,,,,,,
AnwBl,Aranowski,Manfred,Rechtsanwalt,Mitglied der Redaktion Anwaltsblatt,Deutscher Anwaltverein,Redaktion,https://anwaltsblatt.anwaltverein.de/de/anwaltsblatt/redaktion,2024-01-04,,,,,,,,,,,,,,
AnwBl,Adelberger,Selina,Ass. jur.,Mitglied der Redaktion Anwaltsblatt,Deutscher Anwaltverein,Redaktion,https://anwaltsblatt.anwaltverein.de/de/anwaltsblatt/redaktion,2024-01-04,,,,,,,,,,,,,,
AnwBl,Heinicke,Petra,RAin,Herausgeber,Kanzlei Heinicke,Herausgeber,https://anwaltsblatt.anwaltverein.de/de/anwaltsblatt/redaktion,2024-01-04,,,,,,,,,,,,,,
AnwBl,Kindermann,Edith,Rechtsanwältin und Notarin,Herausgeber,Deutscher Anwaltverein,Herausgeber,https://anwaltsblatt.anwaltverein.de/de/anwaltsblatt/redaktion,2024-01-04,,,,,,,,,,,,,,
AnwBl,Schafhausen,Martin,RA,Herausgeber,PLAGEMANN RECHTSANWÄLTE,Herausgeber,https://anwaltsblatt.anwaltverein.de/de/anwaltsblatt/redaktion,2024-01-04,,,,,,,,,,,,,,
AnwBl,Schons,Herbert Peter,Rechtsanwalt und Notar,Herausgeber,Rechtsanwälte Schons,Herausgeber,https://anwaltsblatt.anwaltverein.de/de/anwaltsblatt/redaktion,2024-01-04,,,,,,,,,,,,,,
AnwBl,Lührig,Nicolas,Dr.,Leitung Redaktion,Deutscher Anwaltverein,Redaktion,https://anwaltsblatt.anwaltverein.de/de/anwaltsblatt/redaktion,2024-01-04,,,,,,,,,,,,,,
AnwBl,Tramm,Lisa,,stellvertretende Leitung Redaktion,Deutscher Anwaltverein,Redaktion,https://anwaltsblatt.anwaltverein.de/de/anwaltsblatt/redaktion,2024-01-04,,,,,,,,,,,,,,
AnwBl,Aranowski,Manfred,,Redaktion,Deutscher Anwaltverein,Redaktion,https://anwaltsblatt.anwaltverein.de/de/anwaltsblatt/redaktion,2024-01-04,,,,,,,,,,,,,,
AnwBl,Kallenbach,Jessika,,Redaktion,Deutscher Anwaltverein,Redaktion,https://anwaltsblatt.anwaltverein.de/de/anwaltsblatt/redaktion,2024-01-04,,,,,,,,,,,,,,
ANA-ZAR,Allenberg,Nele,,,Deutsches Institut für Menschenrechte,Herausgeber,https://www.nomos.de/zeitschriften/zar/,2024-01-04,,,,,,,,,,,,,,
ANA-ZAR,Bast,Jürgen,Prof. Dr.,,Justus-Liebig-Universität Gießen,Herausgeber,https://www.nomos.de/zeitschriften/zar/,2024-01-04,,,,,,,,,,,,,,
ANA-ZAR,Bergmann,Jan,Prof. Dr.,Vorsitzender Richter am VGH,Mannheim,Herausgeber,https://www.nomos.de/zeitschriften/zar/,2024-01-04,,,,,,,,,,,,,,
ANA-ZAR,Berlit,Uwe,Prof. Dr.,Vorsitzender Richter am Bundesverwaltungsgericht,,Herausgeber,https://www.nomos.de/zeitschriften/zar/,2024-01-04,,,,,,,,,,,,,,
ANA-ZAR,Breidenbach,Wolfgang,Dr.,Rechtsanwalt,Halle,Herausgeber,https://www.nomos.de/zeitschriften/zar/,2024-01-04,,,,,,,,,,,,,,
ANA-ZAR,Farahat,Anuscheh,Prof. Dr.,,FAU Erlangen-Nürnberg,Herausgeber,https://www.nomos.de/zeitschriften/zar/,2024-01-04,,,,,,,,,,,,,,
ANA-ZAR,Fischer-Lescano,Andreas,Prof. Dr.,,Universität Bremen,Herausgeber,https://www.nomos.de/zeitschriften/zar/,2024-01-04,,,,,,,,,,,,,,
ANA-ZAR,Gerdsmeier,Katrin,,,"Deutscher Caritasverband, Berlin",Herausgeber,https://www.nomos.de/zeitschriften/zar/,2024-01-04,,,,,,,,,,,,,,
ANA-ZAR,Griesbeck,Michael,Dr.,Vizepräsident des Bundesamtes für Migration und Flüchtlinge,Nürnberg,Herausgeber,https://www.nomos.de/zeitschriften/zar/,2024-01-04,,,,,,,,,,,,,,
ANA-ZAR,Janda,Constanze,Prof. Dr.,,Universität Speyer,Herausgeber,https://www.nomos.de/zeitschriften/zar/,2024-01-04,,,,,,,,,,,,,,
ANA-ZAR,Klaus,Sebastian,Dr.,Rechtsanwalt,Darmstadt,Herausgeber,https://www.nomos.de/zeitschriften/zar/,2024-01-04,,,,,,,,,,,,,,
ANA-ZAR,Kluth,Winfried,Prof. Dr.,,Universität Halle,Herausgeber,https://www.nomos.de/zeitschriften/zar/,2024-01-04,,,,,,,,,,,,,,
ANA-ZAR,Langenfeld,Christine,Prof. Dr.,,Universität Göttingen,Herausgeber,https://www.nomos.de/zeitschriften/zar/,2024-01-04,,,,,,,,,,,,,,
ANA-ZAR,Lehmann,Katrin,,Vorsitzende Richterin am Hessischen VGH,Kassel,Herausgeber,https://www.nomos.de/zeitschriften/zar/,2024-01-04,,,,,,,,,,,,,,
ANA-ZAR,Lübbe,Anna,Prof. Dr.,,Hochschule Fulda,Herausgeber,https://www.nomos.de/zeitschriften/zar/,2024-01-04,,,,,,,,,,,,,,
ANA-ZAR,du Maire,Johanna,,Juristische Referentin beim Bevollmächtigten des Rates der EKD,Berlin,Herausgeber,https://www.nomos.de/zeitschriften/zar/,2024-01-04,,,,,,,,,,,,,,
ANA-ZAR,Oberhäuser,Thomas,,Rechtsanwalt,Ulm,Herausgeber,https://www.nomos.de/zeitschriften/zar/,2024-01-04,,,,,,,,,,,,,,
ANA-ZAR,Pfersich,Andreas,,PräsVG,Halle,Herausgeber,https://www.nomos.de/zeitschriften/zar/,2024-01-04,,,,,,,,,,,,,,
ANA-ZAR,Sommer,Hans-Eckhard,Präsident Dr.,,"Bundesamt für Migration und Flüchtlinge, Nürnberg",Herausgeber,https://www.nomos.de/zeitschriften/zar/,2024-01-04,,,,,,,,,,,,,,
ANA-ZAR,Thym,Daniel,Prof. Dr.,,Universität Konstanz,Herausgeber,https://www.nomos.de/zeitschriften/zar/,2024-01-04,,,,,,,,,,,,,,
ANA-ZAR,Weinbrenner,Ulrich,,Ministerialdirektor,"Bundesministerium des Inneren, Berlin",Herausgeber,https://www.nomos.de/zeitschriften/zar/,2024-01-04,,,,,,,,,,,,,,
ANA-ZAR,Kluth,Winfried,Prof. Dr.,,Universität Halle,Schriftleitung,https://www.nomos.de/zeitschriften/zar/,2024-01-04,,,,,,,,,,,,,,
ANA-ZAR,Bast,Jürgen,Prof. Dr.,,Justus-Liebig-Universität Gießen,Schriftleitung,https://www.nomos.de/zeitschriften/zar/,2024-01-04,,,,,,,,,,,,,,
ANA-ZAR,Pfersich,Andreas,,PräsVG,Halle,Schriftleitung,https://www.nomos.de/zeitschriften/zar/,2024-01-04,,,,,,,,,,,,,,
apf,Austermann,Philipp,,,,Herausgeber,https://de.wikipedia.org/wiki/Ausbildung_%E2%80%93_Pr%C3%BCfung_%E2%80%93_Fachpraxis,2024-01-04,,,,,,,,,,,,,,
apf,Bender,Joachim,,,,Herausgeber,https://de.wikipedia.org/wiki/Ausbildung_%E2%80%93_Pr%C3%BCfung_%E2%80%93_Fachpraxis,2024-01-04,,,,,,,,,,,,,,
apf,Ebert,Frank,,,,Herausgeber,https://de.wikipedia.org/wiki/Ausbildung_%E2%80%93_Pr%C3%BCfung_%E2%80%93_Fachpraxis,2024-01-04,,,,,,,,,,,,,,
apf,Klüsener,Robert,,,,Herausgeber,https://de.wikipedia.org/wiki/Ausbildung_%E2%80%93_Pr%C3%BCfung_%E2%80%93_Fachpraxis,2024-01-04,,,,,,,,,,,,,,
apf,Nolden,Frank,,,,Herausgeber,https://de.wikipedia.org/wiki/Ausbildung_%E2%80%93_Pr%C3%BCfung_%E2%80%93_Fachpraxis,2024-01-04,,,,,,,,,,,,,,
apf,Pieper,Hans-Gerd,,,,Herausgeber,https://de.wikipedia.org/wiki/Ausbildung_%E2%80%93_Pr%C3%BCfung_%E2%80%93_Fachpraxis,2024-01-04,,,,,,,,,,,,,,
apf,Reichardt,Jacqueline,,,,Herausgeber,https://de.wikipedia.org/wiki/Ausbildung_%E2%80%93_Pr%C3%BCfung_%E2%80%93_Fachpraxis,2024-01-04,,,,,,,,,,,,,,
apf,Sauerland,Thomas,,,,Herausgeber,https://de.wikipedia.org/wiki/Ausbildung_%E2%80%93_Pr%C3%BCfung_%E2%80%93_Fachpraxis,2024-01-04,,,,,,,,,,,,,,
apf,Schrapper,Ludger,,,,Herausgeber,https://de.wikipedia.org/wiki/Ausbildung_%E2%80%93_Pr%C3%BCfung_%E2%80%93_Fachpraxis,2024-01-04,,,,,,,,,,,,,,
apf,Stollmann,Frank,,,,Herausgeber,https://de.wikipedia.org/wiki/Ausbildung_%E2%80%93_Pr%C3%BCfung_%E2%80%93_Fachpraxis,2024-01-04,,,,,,,,,,,,,,
apf,Wilke,Gesine,,,,Herausgeber,https://de.wikipedia.org/wiki/Ausbildung_%E2%80%93_Pr%C3%BCfung_%E2%80%93_Fachpraxis,2024-01-04,,,,,,,,,,,,,,
APR,Theobald,Christian,RA Prof. Dr.,"Rechtsanwalt, Partner, Honorarprofessor","Becker Büttner Held, Berlin,  Deutsche Universität für Verwaltungswissenschaften Speyer",Herausgeber,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-04,,,,,,,,,,,,,,
APR,Becker,Carsten,Prof. Dr.,"Vorsitzender der 10. Beschlussabteilung des Bundeskartellamts, Honorarprofessor","Bundeskartellamt, Johannes Gutenberg-Universität Mainz",Herausgeber,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-04,,,,,,,,,,,,,,
APR,Franke,Peter,,Vizepräsident der Bundesnetzagentur a.D.,Bundesnetzagentur,Herausgeber,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-04,,,,,,,,,,,,,,
APR,Mögelin,Chris,Dr.,"Leiter des Justiziariats, Leiter des Krisenstab Gas",Bundesnetzagentur,Herausgeber,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-04,,,,,,,,,,,,,,
APR,Rasbach,Winfried,Dr. iur.,"Rechtsanwalt und Syndikus, Hauptabteilungsleiter Recht, Prokurist",Thüga AG,Herausgeber,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-04,,,,,,,,,,,,,,
APR,Ruge,Reinhard,Prof. Dr.,Stellvertretender Abteilungsleiter Recht,"50Hertz Transmission GmbH, Berlin",Herausgeber,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-04,,,,,,,,,,,,,,
APR,Schulz,Thomas,RA,Partner,Linklaters LLP,Herausgeber,https://rsw.beck.de/zeitschriften/enwz/herausgeber-beirat-redaktion,2024-01-04,,,,,,,,,,,,,,
