"lastname","firstname","title","affiliation","role"
"Busse","Christian", "Regierungsdirektor", "Bundesministerium für Ernährung und Landwirtschaft, Bonn", "Herausgeber"
"Endres","Ewald", "Prof. Dr.", "Hochschule Weihenstephan-Triesdorf, Freising", "Redaktion"
"Francois","Matthias", "Rechtsanwalt", "Bitburg", "Redaktion"
"Garmissen","Bernd", "Rechtsanwalt", "Göttingen", "Redaktion"
"Graß","Christiane", "Rechtsanwältin", "Bonn", "Redaktion"
"Haarstrich","Jens", "Rechtsanwalt", "Peine", "Redaktion"
"Köpl","Christian", "Ministerialrat", "Bayerisches Staatsministerium für Ernährung, Landwirtschaft und Forsten, München", ""
"Martinez","Jose", "Prof. Dr.", "Institut für Landwirtschaftsrecht, Georg-August-Universität Göttingen, Göttingen", "Herausgeber"
"Nies","Volkmar", "Ltd. Landwirtschaftsdirektor", "Landwirtschaftskammer NRW, Bonn", "Redaktion"
"Stephany","Ralf", "Rechtsanwalt/Steuerberater", "Bonn", "Redaktion"
"Wedemeyer","Harald", "Rechtsanwalt", "Landvolk Niedersachsen, Hannover", "Redaktion"
"Schell","Irina Valeska", "", "Georg-August-Universität Göttingen, Göttingen", ""
