,lastname,firstname,title,position,affiliation,role
0,Busse,Christian,Dr.,Regierungsdirektor,"Bundesministerium für Ernährung und Landwirtschaft, Bonn",Redaktion
1,Endres,Ewald,Prof. Dr.,,"Hochschule Weihenstephan-Triesdorf, Freising",Redaktion
2,Francois,Matthias,Dr.,Rechtsanwalt,Bitburg,Redaktion
3,von Garmissen,Bernd,Dr.,Rechtsanwalt,Göttingen,Redaktion
4,Glas,Ingo,,Rechtsanwalt,Rostock,Redaktion
5,Graß,Christiane,Rechtsanwältin,,Bonn,Redaktion
6,Haarstrich,Jens,Rechtsanwalt,,Peine,Redaktion
7,Koch,Erich,Dr.,Ltd. Verwaltungsdirektor,"Sozialversicherung für Landwirtschaft, Forsten und Gartenbau, Kassel",Redaktion
8,Köpl,Christian,Dr.,Ministerialrat,"Bayerisches Staatsministerium für Ernährung, Landwirtschaft und Forsten, München",Redaktion
9,Martinez,Jose,Prof. Dr.,,"Institut für Landwirtschaftsrecht, Georg-August-Universitat Göttingen, Göttingen",Redaktion
10,Nies,Volkmar,Ltd. Landwirtschaftsdirektor,,"Landwirtschaftskammer NRW, Bonn",Redaktion
11,Stephany,Ralf,Rechtsanwalt/Steuerberater,,Bonn,Redaktion
12,Wedemeyer,Harald,Rechtsanwalt,,"Landvolk Niedersachsen, Hannover",Redaktion
