,lastname,firstname,title,position,affiliation,role
0,DGAR,,,Deutsche Gesellschaft für Agrarrecht,,Herausgeber
1,Busse,Christian,Dr.,Regierungsdirektor,"Bundesministerium für Ernährung und Landwirtschaft, Bonn",Redaktion
2,Endres,Ewald,Prof. Dr.,,"Hochschule Weihenstephan-Triesdorf, Freising",Redaktion
3,Francois,Matthias,Dr.,Rechtsanwalt,Bitburg,Redaktion
4,von Garmissen,Bernd,Dr.,Rechtsanwalt,Göttingen,Redaktion
5,Glas,Ingo,,Rechtsanwalt,Rostock,Redaktion
6,Graß,Christiane,,Rechtsanwältin,Bonn,Redaktion
7,Haarstrich,Jens,,Rechtsanwalt,Peine,Redaktion
8,Koch,Erich,Dr.,Ltd. Verwaltungsdirektor,"Sozialversicherung für Landwirtschaft, Forsten und Gartenbau, Kassel",Redaktion
9,Köpl,Christian,Dr.,Ministerialrat,"Bayerisches Staatsministerium für Ernährung, Landwirtschaft und Forsten, München",Redaktion
10,Martinez,Jose,Prof. Dr.,,"Institut für Landwirtschaftsrecht, Georg-August-Universitat Göttingen, Göttingen",Redaktion
11,Nies,Volkmar,,Ltd. Landwirtschaftsdirektor,"Landwirtschaftskammer NRW, Bonn",Redaktion
12,Stephany,Ralf,,Rechtsanwalt/Steuerberater,Bonn,Redaktion
13,Wedemeyer,Harald,,Rechtsanwalt,"Landvolk Niedersachsen, Hannover",Redaktion
14,Martinez,José,Prof. Dr.,Erster Schriftleiter,"Institut für Landwirtschaftsrecht, Göttingen",Redaktion
15,Nies,Volkmar,LLD,Zweiter Schriftleiter,50170 Kerpen,Redaktion
