,lastname,firstname,title,position,affiliation,role
0,Deutsche Gesellschaft für Agrarrecht,,,,,Herausgeber
1,Busse,Christian,Dr.,Regierungsdirektor,"Bundesministerium für Ernährung und Landwirtschaft, Bonn",Redaktion
2,Endres,Ewald,Prof. Dr.,,"Hochschule Weihenstephan-Triesdorf, Freising",Redaktion
3,Francois,Matthias,Dr.,Rechtsanwalt,,Redaktion
4,von Garmissen,Bernd,Dr.,Rechtsanwalt,,Redaktion
5,Glas,Ingo,Dr.,Rechtsanwalt,,Redaktion
6,Graß,Christiane,,Rechtsanwältin,,Redaktion
7,Haarstrich,Jens,,Rechtsanwalt,,Redaktion
8,Koch,Erich,Dr.,Ltd. Verwaltungsdirektor,"Sozialversicherung für Landwirtschaft, Forsten und Gartenbau, Kassel",Redaktion
9,Köpl,Christian,Dr.,Ministerialrat,"Bayerisches Staatsministerium für Ernährung, Landwirtschaft und Forsten, München",Redaktion
10,Martinez,Jose,Prof. Dr.,,"Institut für Landwirtschaftsrecht, Georg-August-Universitat Göttingen, Göttingen",Redaktion
11,Nies,Volkmar,,Ltd. Landwirtschaftsdirektor,"Landwirtschaftskammer NRW, Bonn",Redaktion
12,Stephany,Ralf,,Rechtsanwalt/Steuerberater,,Redaktion
13,Wedemeyer,Harald,,Rechtsanwalt,"Landvolk Niedersachsen, Hannover",Redaktion
14,Institut für Landwirtschaftsrecht,,,,,Schriftleitung
15,Martinez,José,Prof. Dr.,Erster Schriftleiter,Institut für Landwirtschaftsrecht,Schriftleitung
16,Nies,Volkmar,LLD,Zweiter Schriftleiter,,Schriftleitung
17,Schell,Irina Valeska,,Assistenz der Schriftleitung,,Schriftleitung
